,Gare,Latitude,Longitude
0,Abancourt,49.6852237,1.7743058
1,Abbaretz,47.5546432,-1.5244159
2,Abbeville,50.10221,1.82449
3,Ablon-sur-Seine,48.725468,2.419151
4,Achères Grand Cormier,48.9551835,2.0919031
5,Achères Ville,48.97011,2.07739
6,Acheux - Franleu,50.0826021,1.6574207
7,Achiet-le-Grand,50.1317525,2.780168
8,Aéroport Charles de Gaulle 1,49.00956,2.56135
9,Aéroport Charles de Gaulle 2 TGV,49.003652,2.570892
10,Aéroport Charles de Gaulle 2 TGV,49.003652,2.570892
11,Agay,43.4313701,6.8564997
12,Agde,43.31728,3.466203
13,Agen,44.208311,0.620932
14,Agonac,45.2865966,0.7486706
15,Aguilcourt - Variscourt,49.408017,3.973137
16,Aigrefeuille le Thou,46.09402,-0.95168
17,Aiguebelette-le-Lac,45.5363048,5.8131468
18,Aiguebelle,45.5437225,6.3067175
19,Aigueperse,46.0147884,3.1982621
20,Aigues-Mortes,43.5709008,4.1912102
21,Aiguillon,44.2987224,0.3352388
22,Aillevillers,47.9138876,6.3372988
23,Ailly-sur-Noye,49.75448,2.36419
24,Ailly-sur-Somme,49.92838,2.20059
25,Aimargues,43.6786107,4.2082933
26,Aime - La Plagne,45.5544,6.648646
27,Aiserey,47.170501,5.1582447
28,Aix-en-Provence,43.522912,5.445345
29,Aix-en-Provence TGV,43.455237,5.317534
30,Aix-les-Bains le Revard,45.688161,5.909371
31,Aixe-sur-Vienne,45.7965002,1.1456892
32,Alaï,45.7521198,4.7717824
33,Albens,45.785946,5.9483418
34,Albert,50.00546,2.64453
35,Albertville,45.672977,6.383167
36,Albi,43.92238,2.137958
37,Albi Madeleine,43.938011,2.1409629
38,Albias,44.0919078,1.4448012
39,Albigny - Neuville,45.874921,4.832874
40,Alençon,48.433884,0.098531
41,Alès,44.127825,4.084948
42,Alet-les-Bains,42.9974445,2.2518325
43,Allassac,45.2589385,1.4731471
44,Allée de la Tour Rendez-Vous,48.897109,2.506475
45,Allenc,44.541296,3.6638926
46,Alleyras,44.919217,3.673517
47,Altkirch,47.6270174,7.2392493
48,Amagne - Lucquy,49.5238187,4.4738775
49,Ambazac,45.9529056,1.406501
50,Ambérieu-en-Bugey,45.954008,5.342388
51,Ambilly,46.19452,3.224666
52,Amboise,47.42148,0.981299
53,Ambronay - Priay,46.0115941,5.3382579
54,Amiens,49.890746,2.312592
55,Amifontaine,49.4847322,3.9105811
56,Amilly Ouerray,48.4381825,1.3892882
57,Amplepuis,45.970982,4.326844
58,Ancenis,47.369334,-1.177763
59,Anchamps,49.9307448,4.6702434
60,Anché - Voulon,46.3496187,0.2503424
61,Ancy-sur-Moselle,49.0575093,6.0627661
62,Andelot-en-Montagne,46.8594671,5.923584
63,Andrésy,48.9747,2.04928
64,Andrézieux-Bouthéon,45.5217037,4.254834
65,Angers Maître École,47.4670899,-0.531894
