,Date,Température moyenne
0,2019-01-01,8
1,2019-01-02,5
2,2019-01-03,4
3,2019-01-04,3
4,2019-01-05,4
5,2019-01-06,5
6,2019-01-07,6
7,2019-01-08,8
8,2019-01-09,5
9,2019-01-10,3
10,2019-01-11,5
11,2019-01-12,7
12,2019-01-13,10
13,2019-01-14,8
14,2019-01-15,7
15,2019-01-16,5
16,2019-01-17,5
17,2019-01-18,2
18,2019-01-19,2
19,2019-01-20,2
20,2019-01-21,-0
21,2019-01-22,0
22,2019-01-23,0
23,2019-01-24,-0
24,2019-01-25,2
25,2019-01-26,7
26,2019-01-27,6
27,2019-01-28,4
28,2019-01-29,2
29,2019-01-30,1
30,2019-01-31,-0
31,2019-02-01,4
32,2019-02-02,3
33,2019-02-03,3
34,2019-02-04,2
35,2019-02-05,3
36,2019-02-06,7
37,2019-02-07,8
38,2019-02-08,8
39,2019-02-09,9
40,2019-02-10,9
41,2019-02-11,6
42,2019-02-12,4
43,2019-02-13,5
44,2019-02-14,6
45,2019-02-15,8
46,2019-02-16,8
47,2019-02-17,9
48,2019-02-18,9
49,2019-02-19,9
50,2019-02-20,8
51,2019-02-21,10
52,2019-02-22,10
53,2019-02-23,10
54,2019-02-24,9
55,2019-02-25,10
56,2019-02-26,11
57,2019-02-27,12
58,2019-02-28,10
59,2019-03-01,10
60,2019-03-02,10
61,2019-03-03,12
62,2019-03-04,9
63,2019-03-05,8
64,2019-03-06,11
65,2019-03-07,9
66,2019-03-08,9
67,2019-03-09,11
68,2019-03-10,11
69,2019-03-11,7
70,2019-03-12,8
71,2019-03-13,7
72,2019-03-14,9
73,2019-03-15,12
74,2019-03-16,11
75,2019-03-17,9
76,2019-03-18,7
77,2019-03-19,8
78,2019-03-20,9
79,2019-03-21,11
80,2019-03-22,12
81,2019-03-23,10
82,2019-03-24,10
83,2019-03-25,8
84,2019-03-26,8
85,2019-03-27,9
86,2019-03-28,9
87,2019-03-29,12
88,2019-03-30,13
89,2019-03-31,14
90,2019-04-01,14
91,2019-04-02,12
92,2019-04-03,7
93,2019-04-04,7
94,2019-04-05,9
95,2019-04-06,11
96,2019-04-07,11
97,2019-04-08,12
98,2019-04-09,11
99,2019-04-10,10
100,2019-04-11,9
101,2019-04-12,7
102,2019-04-13,6
103,2019-04-14,6
104,2019-04-15,9
105,2019-04-16,11
106,2019-04-17,12
107,2019-04-18,16
108,2019-04-19,18
109,2019-04-20,18
110,2019-04-21,18
111,2019-04-22,18
112,2019-04-23,17
113,2019-04-24,15
114,2019-04-25,13
115,2019-04-26,12
116,2019-04-27,10
117,2019-04-28,9
118,2019-04-29,11
